Item_id,Item,Store ,suplier,suplier location ,quantity,Item sold,purchase price,total cost,sold price ,Discounts,total sales ,Date,Month Number,Month Name,Year,product feedback,other feedback
1135,Sour cream,Home Delivery, Basfoods Direct - Somerton Store , Northern Territory ,2146,2137, $6.00 ," $12,876.00 ", $6.95 , $-   ," $14,852.15 ",14/1/2020,9, September ,2020,Extremely Poor,product was not very fresh thanks
1136,Yogurt,Grocery, Glendal Foods , NSW  ,345,336, $4.25 ," $1,466.25 ", $5.20 , $-   ," $1,747.20 ",15/1/2020,10, October ,2020,agree,prodict not receive ontime
1137,Beef,Market, Grocery Industries Australia Pty Ltd , Queensland ,615,1606, $12.00 ," $7,380.00 ", $12.95 , $-   ," $20,797.70 ",16/1/2020,12, December ,2020,disagree,customer service was very friendly 
1138,Wild Salmon,Fish Market, Complete Food Services , Tasmania ,292,1309, $20.00 ," $5,840.00 ", $20.95 , $-   ," $27,423.55 ",17/1/2020,2, February ,2020,Extremely Poor,no one response my email
1139,Oranges,Grocery, Japan Foods Trading , Western Australia  ,974,2166, $11.80 ," $11,489.26 ", $12.75 , $-   ," $27,607.74 ",18/1/2020,2, February ,2020,agree,"there was an issue with my order, team resolve very quickly"
1140,Apples,Orchard, Basfoods Direct , South Australia  ,2518,876, $12.49 ," $31,447.23 ", $13.44 , $-   ," $11,772.54 ",19/1/2020,6, June ,2020,disagree,I like your product 
1141,Bananas,Grocery, Kahvecioglu Grand Foods , Northern Territory ,1006,2458, $13.18 ," $13,261.08 ", $14.13 , $-   ," $34,736.42 ",20/1/2020,6, June ,2020,strongly agree,bad quality 
1142,Lettuce,Market, NSM Foods Direct to Public Outlet Store , The Australian Capital Territory ,367,1501, $13.88 ," $5,092.13 ", $14.83 , $-   ," $22,252.33 ",21/1/2020,7, July ,2020,strongly diagree,good quality 
1143,Tomatoes,Market, Bera Foods Wholesalers , NSW  ,883,909, $14.57 ," $12,863.56 ", $15.52 , $-   ," $14,105.88 ",22/1/2020,8, August ,2020,agree,tasty 
1144,Squash,Market, Grocery Industries Australia Pty Ltd , Queensland ,549,2506, $15.26 ," $8,378.31 ", $16.21 , $-   ," $40,624.84 ",23/1/2021,9, September ,2021,Extremely Poor,I like your product 
1145,Oranges,Grocery, Complete Food Services , Tasmania ,788,1887, $15.95 ," $12,571.79 ", $16.90 , $-   ," $31,897.93 ",24/1/2021,9, September ,2021,agree,I don't like this product 
1146,Apples,Orchard, Japan Foods Trading , Western Australia  ,2472,1533, $16.65 ," $41,151.53 ", $17.60 , $-   ," $26,976.29 ",25/1/2021,9, September ,2021,disagree,prodict not receive ontime
1147,Bananas,Grocery, Basfoods Direct , South Australia  ,1143,2458, $3.00 ," $3,429.00 ", $3.95 , $-   ," $9,709.10 ",26/1/2021,10, October ,2021,strongly agree,receive ontime 
1148,Lettuce,Market, Kahvecioglu Grand Foods , NSW  ,1725,2653, $2.00 ," $3,450.00 ", $2.95 , $-   ," $7,826.35 ",27/1/2021,11, November ,2021,strongly diagree,I like your product 
1149,Tomatoes,Market, NSM Foods Direct to Public Outlet Store , Queensland ,912,946, $1.50 ," $1,368.00 ", $2.45 , $-   ," $2,317.70 ",28/1/2021,11, November ,2021,agree,I don't like this product 
1150,Squash,Market, Bera Foods Wholesalers , Tasmania ,2152,2134, $1.75 ," $3,766.00 ", $2.70 , $-   ," $5,761.80 ",29/1/2021,12, December ,2021,disagree,product not receive ontime
1151,Celery,Grocery, Grocery Industries Australia Pty Ltd , Western Australia  ,1817,333, $2.00 ," $3,634.00 ", $2.95 , $-   , $982.35 ,30/1/2021,12, December ,2021,Extremely Poor,receive ontime 
1152,Cucumber,Market, Complete Food Services , South Australia  ,1513,603, $5.00 ," $7,565.00 ", $5.95 , $-   ," $3,587.85 ",31/1/2021,12, December ,2021,strongly agree,I like your product 
1153,Mushrooms,Grocery, Japan Foods Trading , NSW  ,1493,280, $4.00 ," $5,972.00 ", $4.95 , $-   ," $1,386.00 ",1/2/2021,1, January ,2021,strongly diagree,I don't like this product 
1154,Oranges,Grocery, Basfoods Direct , Queensland ,1804,962, $3.50 ," $6,314.00 ", $4.45 , $-   ," $4,280.90 ",2/2/2021,2, February ,2021,disagree,product was very fresh thanks
1155,Apples,Orchard, Grocery Industries Australia Pty Ltd , Tasmania ,2161,2506, $4.00 ," $8,644.00 ", $4.95 , $-   ," $12,404.70 ",3/2/2021,3, March ,2021,strongly agree,product was notvery fresh thanks
1156,Bananas,Grocery, Complete Food Services , Western Australia  ,1006,994, $2.50 ," $2,515.00 ", $3.45 , $-   ," $3,429.30 ",4/2/2021,6, June ,2021,strongly diagree,product was very fresh thanks
1157,Lettuce,Market, Japan Foods Trading , South Australia  ,1545,355, $5.00 ," $7,725.00 ", $5.95 , $-   ," $2,112.25 ",5/2/2021,6, June ,2021,agree,product was not very fresh thanks
1158,Tomatoes,Market, Basfoods Direct , Northern Territory ,2821,871, $11.00 ," $31,031.00 ", $11.95 , $-   ," $10,408.45 ",6/2/2021,8, August ,2021,disagree,prodict not receive ontime
1159,Squash,Market, Kahvecioglu Grand Foods , The Australian Capital Territory ,345,537, $7.00 ," $2,415.00 ", $7.95 , $-   ," $4,269.15 ",7/2/2021,10, October ,2021,Extremely Poor,customer service was very friendly 
1160,Celery,Grocery, NSM Foods Direct to Public Outlet Store , Northern Territory ,2001,776, $6.00 ," $12,006.00 ", $6.95 , $-   ," $5,393.20 ",8/2/2021,2, February ,2021,strongly agree,no one response my email
1161,Cucumber,Market, Bera Foods Wholesalers , The Australian Capital Territory ,2838,2460, $4.25 ," $12,061.50 ", $5.20 , $-   ," $12,792.00 ",9/2/2021,4, April ,2021,strongly diagree,"there was an issue with my order, team resolve very quickly"
1162,Mushrooms,Grocery, Royal Foods Australia Pty. Ltd. , NSW  ,2178,1131, $12.00 ," $26,136.00 ", $12.95 , $-   ," $14,646.45 ",10/2/2021,6, June ,2021,strongly diagree,I like your product 
1163,Milk ,Home Delivery, Real Food Distributors , Queensland ,888,1713, $20.00 ," $17,760.00 ", $20.95 , $-   ," $35,887.35 ",11/2/2021,6, June ,2021,disagree,bad quality 
1164,Cheese,Home Delivery, Quality Foods , Tasmania ,1527,900, $11.80 ," $18,012.42 ", $12.75 , $-   ," $11,471.36 ",12/2/2021,9, September ,2021,strongly agree,good quality 
1165,Eggs,Home Delivery, Basfoods Direct , Western Australia  ,2151,2140, $12.49 ," $26,863.78 ", $13.44 , $-   ," $28,759.40 ",13/2/2021,9, September ,2021,strongly diagree,tasty 
1166,Cottage cheese,Home Delivery, Kahvecioglu Grand Foods , South Australia  ,1817,1805, $13.18 ," $23,951.67 ", $14.13 , $-   ," $25,508.23 ",14/2/2021,12, December ,2021,agree,I like your product 
1167,Sour cream,Home Delivery, NSM Foods Direct to Public Outlet Store , Northern Territory ,2750,1501, $13.88 ," $38,156.25 ", $14.83 , $-   ," $22,252.33 ",15/2/2021,2, February ,2021,disagree,I don't like this product 
1168,Yogurt,Grocery, Bera Foods Wholesalers , The Australian Capital Territory ,1953,1948, $14.57 ," $28,451.33 ", $15.52 , $-   ," $30,229.09 ",16/2/2021,4, April ,2021,Extremely Poor,product not receive ontime
1169,Beef,Market, Royal Foods Australia Pty. Ltd. , NSW  ,4219.5,4214.5, $15.26 ," $64,393.91 ", $16.21 , $-   ," $68,321.38 ",17/2/2021,4, April ,2021,strongly agree,receive ontime 
1170,Wild Salmon,Fish Market, Real Food Distributors , Queensland ,1899,1894, $15.95 ," $30,296.73 ", $16.90 , $-   ," $32,016.26 ",18/2/2021,6, June ,2021,strongly diagree,I like your product 
1171,Oranges,Grocery, Quality Foods , Tasmania ,1686,1681, $16.65 ," $28,066.94 ", $17.60 , $-   ," $29,580.66 ",19/2/2021,7, July ,2021,agree,I don't like this product 
1172,Apples,Orchard, First Ray , Western Australia  ,2141,2136, $3.00 ," $6,423.00 ", $3.95 , $-   ," $8,437.20 ",20/2/2021,8, August ,2021,disagree,product was very fresh thanks
1173,Bananas,Grocery, Mediterranean Wholesalers , South Australia  ,1143,1138, $2.00 ," $2,286.00 ", $2.95 , $-   ," $3,357.10 ",21/2/2021,10, October ,2021,strongly agree,product was notvery fresh thanks
1174,Lettuce,Market, Bruno Fine Foods , Northern Territory ,615,610, $1.50 , $922.50 , $2.45 , $-   ," $1,494.50 ",22/2/2021,12, December ,2021,strongly diagree,product was very fresh thanks
1175,Tomatoes,Market, Basfoods Direct - Somerton Store , The Australian Capital Territory ,3945,3940, $1.75 ," $6,903.75 ", $2.70 , $-   ," $10,638.00 ",23/2/2021,1, January ,2021,agree,product was not very fresh thanks
1176,Squash,Market, Glendal Foods , NSW  ,2296,2291, $2.00 ," $4,592.00 ", $2.95 , $-   ," $6,758.45 ",24/2/2021,2, February ,2021,disagree,prodict not receive ontime
1177,Oranges,Grocery, Grocery Industries Australia Pty Ltd , Queensland ,1030,1025, $5.00 ," $5,150.00 ", $5.95 , $-   ," $6,098.75 ",25/2/2021,5, May ,2021,Extremely Poor,customer service was very friendly 
1178,Apples,Orchard, Complete Food Services , Tasmania ,639,634, $4.00 ," $2,556.00 ", $4.95 , $-   ," $3,138.30 ",26/2/2021,11, November ,2021,strongly agree,no one response my email
1179,Oranges,Grocery, Japan Foods Trading , Western Australia  ,1326,1321, $3.50 ," $4,641.00 ", $4.45 , $-   ," $5,878.45 ",27/2/2021,3, March ,2021,strongly diagree,"there was an issue with my order, team resolve very quickly"
1180,Apples,Orchard, Basfoods Direct , South Australia  ,1858,1853, $4.00 ," $7,432.00 ", $4.95 , $-   ," $9,172.35 ",28/2/2021,2, February ,2021,strongly diagree,I like your product 
1181,Bananas,Grocery, Kahvecioglu Grand Foods , Northern Territory ,1210,1205, $2.50 ," $3,025.00 ", $3.45 , $-   ," $4,157.25 ",1/3/2021,3, March ,2021,disagree,bad quality 
1182,Lettuce,Market, NSM Foods Direct to Public Outlet Store , NSW  ,2529,2524, $5.00 ," $12,645.00 ", $5.95 , $-   ," $15,017.80 ",2/3/2021,7, July ,2021,strongly agree,good quality 
1183,Tomatoes,Market, Bera Foods Wholesalers , Queensland ,1445,1440, $11.00 ," $15,895.00 ", $11.95 , $-   ," $17,208.00 ",3/3/2021,9, September ,2021,strongly diagree,tasty 
1184,Squash,Market, Grocery Industries Australia Pty Ltd , Tasmania ,330,325, $7.00 ," $2,310.00 ", $7.95 , $-   ," $2,583.75 ",4/3/2021,9, September ,2021,agree,I like your product 
1185,Celery,Grocery, Complete Food Services , Western Australia  ,2671,2666, $6.00 ," $16,026.00 ", $6.95 , $-   ," $18,528.70 ",5/3/2021,9, September ,2021,disagree,I don't like this product 
1186,Cucumber,Market, Japan Foods Trading , South Australia  ,766,761, $4.25 ," $3,255.50 ", $5.20 , $-   ," $3,957.20 ",6/3/2021,10, October ,2021,Extremely Poor,prodict not receive ontime
1187,Mushrooms,Grocery, Basfoods Direct , Northern Territory ,494,489, $12.00 ," $5,928.00 ", $12.95 , $-   ," $6,332.55 ",7/3/2021,10, October ,2021,strongly agree,receive ontime 
1188,Milk ,Home Delivery, Kahvecioglu Grand Foods , The Australian Capital Territory ,1397,1392, $20.00 ," $27,940.00 ", $20.95 , $-   ," $29,162.40 ",8/3/2021,10, October ,2021,strongly diagree,I like your product 
1189,Cheese,Home Delivery, NSM Foods Direct to Public Outlet Store , NSW  ,2155,2150, $11.80 ," $25,420.28 ", $12.75 , $-   ," $27,403.81 ",9/3/2021,12, December ,2021,strongly diagree,I don't like this product 
1190,Eggs,Home Delivery, Bera Foods Wholesalers , Queensland ,2214,2209, $12.49 ," $27,650.58 ", $13.44 , $-   ," $29,686.69 ",10/3/2021,3, March ,2021,strongly diagree,I like your product 
1191,Cottage cheese,Home Delivery, Grocery Industries Australia Pty Ltd , Tasmania ,2301,2296, $13.18 ," $30,331.75 ", $14.13 , $-   ," $32,447.04 ",11/3/2021,4, April ,2021,disagree,I don't like this product 
1192,Oranges,Grocery, Complete Food Services , Western Australia  ,1375.5,1370.5, $13.88 ," $19,085.06 ", $14.83 , $-   ," $20,317.66 ",12/3/2021,7, July ,2021,strongly agree,product not receive ontime
1193,Apples,Orchard, Japan Foods Trading , South Australia  ,1830,1825, $14.57 ," $26,659.47 ", $15.52 , $-   ," $28,320.38 ",13/3/2021,8, August ,2021,strongly diagree,receive ontime 
1194,Bananas,Grocery, Basfoods Direct , NSW  ,2498,2493, $15.26 ," $38,122.05 ", $16.21 , $-   ," $40,414.10 ",14/3/2021,9, September ,2021,agree,I like your product 
1195,Lettuce,Market, Grocery Industries Australia Pty Ltd , Queensland ,663,658, $15.95 ," $10,577.53 ", $16.90 , $-   ," $11,122.86 ",15/3/2021,10, October ,2021,disagree,I don't like this product 
1196,Tomatoes,Market, Complete Food Services , Tasmania ,1514,1509, $16.65 ," $25,203.65 ", $17.60 , $-   ," $26,553.96 ",16/3/2021,2, February ,2021,Extremely Poor,product was very fresh thanks
1197,Squash,Market, Japan Foods Trading , Western Australia  ,4492.5,4487.5, $3.00 ," $13,477.50 ", $3.95 , $-   ," $17,725.63 ",17/3/2021,4, April ,2021,strongly agree,product was notvery fresh thanks
1198,Celery,Grocery, Basfoods Direct , South Australia  ,727,722, $2.00 ," $1,454.00 ", $2.95 , $-   ," $2,129.90 ",18/3/2021,6, June ,2021,strongly diagree,product was very fresh thanks
1199,Cucumber,Market, Kahvecioglu Grand Foods , NSW  ,787,782, $1.50 ," $1,180.50 ", $2.45 , $-   ," $1,915.90 ",19/3/2021,6, June ,2021,strongly diagree,product was not very fresh thanks
1200,Mushrooms,Grocery, NSM Foods Direct to Public Outlet Store , Queensland ,1823,1818, $1.75 ," $3,190.25 ", $2.70 , $-   ," $4,908.60 ",20/3/2021,7, July ,2021,strongly diagree,prodict not receive ontime
1201,Milk ,Home Delivery, Bera Foods Wholesalers , Tasmania ,747,742, $2.00 ," $1,494.00 ", $2.95 , $-   ," $2,188.90 ",21/3/2021,9, September ,2021,disagree,customer service was very friendly 
1202,Cheese,Home Delivery, Royal Foods Australia Pty. Ltd. , Western Australia  ,766,761, $5.00 ," $3,830.00 ", $5.95 , $-   ," $4,527.95 ",22/3/2021,10, October ,2021,strongly agree,no one response my email
1203,Eggs,Home Delivery, Real Food Distributors , South Australia  ,2905,2900, $4.00 ," $11,620.00 ", $4.95 , $-   ," $14,355.00 ",23/3/2021,11, November ,2021,strongly diagree,"there was an issue with my order, team resolve very quickly"
1204,Cottage cheese,Home Delivery, Quality Foods , Northern Territory ,2155,2150, $3.50 ," $7,542.50 ", $4.45 , $-   ," $9,567.50 ",24/3/2021,12, December ,2021,agree,I like your product 
1205,Sour cream,Home Delivery, First Ray , The Australian Capital Territory ,3864,3859, $4.00 ," $15,456.00 ", $4.95 , $-   ," $19,102.05 ",25/3/2021,4, April ,2021,disagree,bad quality 
1206,Yogurt,Grocery, Mediterranean Wholesalers , Northern Territory ,362,357, $2.50 , $905.00 , $3.45 , $-   ," $1,231.65 ",26/3/2021,5, May ,2021,Extremely Poor,good quality 
1207,Beef,Market, Bruno Fine Foods , The Australian Capital Territory ,923,918, $5.00 ," $4,615.00 ", $5.95 , $-   ," $5,462.10 ",27/3/2021,8, August ,2021,strongly agree,tasty 
1208,Wild Salmon,Fish Market, Basfoods Direct - Somerton Store , NSW  ,663,658, $11.00 ," $7,293.00 ", $11.95 , $-   ," $7,863.10 ",28/3/2021,10, October ,2021,strongly diagree,I like your product 
1209,Oranges,Grocery, Glendal Foods , Queensland ,2092,2087, $7.00 ," $14,644.00 ", $7.95 , $-   ," $16,591.65 ",29/3/2021,11, November ,2021,strongly diagree,I don't like this product 
1210,Apples,Orchard, Delta Sales , Tasmania ,263,258, $6.00 ," $1,578.00 ", $6.95 , $-   ," $1,793.10 ",30/3/2021,3, March ,2021,strongly diagree,prodict not receive ontime
1211,Bananas,Grocery, Marchetti Fine Foods , Western Australia  ,943.5,938.5, $4.25 ," $4,009.88 ", $5.20 , $-   ," $4,880.20 ",31/3/2021,4, April ,2021,disagree,receive ontime 
1212,Lettuce,Market, Marchetti Fine Foods , South Australia  ,727,722, $12.00 ," $8,724.00 ", $12.95 , $-   ," $9,349.90 ",1/4/2021,6, June ,2021,strongly agree,I like your product 
1213,Tomatoes,Market, Royal Foods Australia Pty. Ltd. , NSW  ,787,782, $20.00 ," $15,740.00 ", $20.95 , $-   ," $16,382.90 ",2/4/2021,6, June ,2021,strongly diagree,I don't like this product 
1214,Squash,Market, Real Food Distributors , Queensland ,986,981, $11.80 ," $11,630.81 ", $12.75 , $-   ," $12,503.78 ",3/4/2021,9, September ,2021,agree,product not receive ontime
1215,Oranges,Grocery, Quality Foods , Tasmania ,494,489, $12.49 ," $6,169.55 ", $13.44 , $-   ," $6,571.66 ",4/4/2021,10, October ,2021,disagree,receive ontime 
1216,Oranges,Grocery, First Ray , Western Australia  ,1397,1392, $13.18 ," $18,415.23 ", $14.13 , $-   ," $19,671.72 ",5/4/2021,10, October ,2021,Extremely Poor,I like your product 
1217,Apples,Orchard, Mediterranean Wholesalers , South Australia  ,1744,1739, $13.88 ," $24,198.00 ", $14.83 , $-   ," $25,780.68 ",6/4/2021,11, November ,2021,strongly agree,I don't like this product 
1218,Bananas,Grocery, Bruno Fine Foods , Northern Territory ,1989,1984, $14.57 ," $28,975.78 ", $15.52 , $-   ," $30,787.74 ",7/4/2021,9, September ,2021,strongly diagree,product was very fresh thanks
1219,Lettuce,Market, Basfoods Direct - Somerton Store , The Australian Capital Territory ,321,316, $15.26 ," $4,898.79 ", $16.21 , $-   ," $5,122.69 ",8/4/2021,11, November ,2021,strongly diagree,product was notvery fresh thanks
1220,Tomatoes,Market, Glendal Foods , NSW  ,742.5,737.5, $15.95 ," $11,845.88 ", $16.90 , $-   ," $12,466.73 ",9/4/2021,4, April ,2021,strongly diagree,product was very fresh thanks
1221,Squash,Market, Grocery Industries Australia Pty Ltd , Queensland ,1295,1290, $16.65 ," $21,557.94 ", $17.60 , $-   ," $22,700.21 ",10/4/2021,10, October ,2021,disagree,I like your product 
1222,Celery,Grocery, Complete Food Services , Tasmania ,214,209, $3.00 , $642.00 , $3.95 , $-   , $825.55 ,11/4/2021,10, October ,2021,strongly agree,I don't like this product 
1223,Cucumber,Market, Japan Foods Trading , Western Australia  ,2145,2140, $2.00 ," $4,290.00 ", $2.95 , $-   ," $6,313.00 ",12/4/2021,11, November ,2021,strongly diagree,product not receive ontime
1224,Mushrooms,Grocery, Basfoods Direct , South Australia  ,2852,2847, $1.50 ," $4,278.00 ", $2.45 , $-   ," $6,975.15 ",13/4/2021,12, December ,2021,agree,receive ontime 
1225,Milk ,Home Delivery, Kahvecioglu Grand Foods , Northern Territory ,1142,1137, $1.75 ," $1,998.50 ", $2.70 , $-   ," $3,069.90 ",14/4/2021,6, June ,2021,disagree,I like your product 
1226,Cheese,Home Delivery, NSM Foods Direct to Public Outlet Store , NSW  ,1566,1561, $2.00 ," $3,132.00 ", $2.95 , $-   ," $4,604.95 ",15/4/2021,10, October ,2021,Extremely Poor,I don't like this product 
1227,Eggs,Home Delivery, Bera Foods Wholesalers , Queensland ,690,685, $5.00 ," $3,450.00 ", $5.95 , $-   ," $4,075.75 ",16/4/2021,11, November ,2021,strongly agree,product was very fresh thanks
1228,Cottage cheese,Home Delivery, Grocery Industries Australia Pty Ltd , Tasmania ,1660,1655, $4.00 ," $6,640.00 ", $4.95 , $-   ," $8,192.25 ",17/4/2021,11, November ,2021,strongly diagree,product was notvery fresh thanks
1229,Sour cream,Home Delivery, Complete Food Services , Western Australia  ,2363,2358, $3.50 ," $8,270.50 ", $4.45 , $-   ," $10,493.10 ",18/4/2021,2, February ,2021,strongly diagree,product was very fresh thanks
1230,Yogurt,Grocery, Japan Foods Trading , South Australia  ,918,913, $4.00 ," $3,672.00 ", $4.95 , $-   ," $4,519.35 ",19/4/2021,5, May ,2021,disagree,product was not very fresh thanks
1231,Beef,Market, Basfoods Direct , Northern Territory ,1728,1723, $2.50 ," $4,320.00 ", $3.45 , $-   ," $5,944.35 ",20/4/2021,5, May ,2021,strongly agree,prodict not receive ontime
1232,Wild Salmon,Fish Market, Kahvecioglu Grand Foods , The Australian Capital Territory ,1142,1137, $5.00 ," $5,710.00 ", $5.95 , $-   ," $6,765.15 ",21/4/2021,6, June ,2021,strongly diagree,customer service was very friendly 
1233,Oranges,Grocery, NSM Foods Direct to Public Outlet Store , NSW  ,662,657, $11.00 ," $7,282.00 ", $11.95 , $-   ," $7,851.15 ",22/4/2021,6, June ,2021,agree,no one response my email
1234,Apples,Orchard, Bera Foods Wholesalers , Queensland ,1295,1290, $7.00 ," $9,065.00 ", $7.95 , $-   ," $10,255.50 ",23/4/2021,10, October ,2021,disagree,"there was an issue with my order, team resolve very quickly"
1235,Bananas,Grocery, Grocery Industries Australia Pty Ltd , Tasmania ,809,804, $6.00 ," $4,854.00 ", $6.95 , $-   ," $5,587.80 ",24/4/2021,10, October ,2021,Extremely Poor,I like your product 
1236,Lettuce,Market, Complete Food Services , Western Australia  ,2145,2140, $4.25 ," $9,116.25 ", $5.20 , $-   ," $11,128.00 ",25/4/2021,10, October ,2021,strongly agree,bad quality 
1237,Tomatoes,Market, Japan Foods Trading , South Australia  ,1785,1780, $12.00 ," $21,420.00 ", $12.95 , $-   ," $23,051.00 ",26/4/2021,11, November ,2021,strongly diagree,good quality 
1238,Squash,Market, Basfoods Direct , NSW  ,1916,1911, $20.00 ," $38,320.00 ", $20.95 , $-   ," $40,035.45 ",27/4/2021,12, December ,2021,agree,tasty 
1239,Oranges,Grocery, Royal Foods Australia Pty. Ltd. , Queensland ,2852,2847, $11.80 ," $33,642.07 ", $12.75 , $-   ," $36,287.74 ",28/4/2021,12, December ,2021,disagree,I like your product 
1240,Apples,Orchard, Real Food Distributors , Tasmania ,2729,2724, $12.49 ," $34,082.40 ", $13.44 , $-   ," $36,607.76 ",29/4/2021,12, December ,2021,strongly agree,I don't like this product 
1241,Bananas,Grocery, Quality Foods , Western Australia  ,1925,1920, $13.18 ," $25,375.32 ", $14.13 , $-   ," $27,133.41 ",30/4/2021,12, December ,2021,strongly diagree,I like your product 
1242,Lettuce,Market, First Ray , South Australia  ,2013,2008, $13.88 ," $27,930.38 ", $14.83 , $-   ," $29,768.60 ",1/5/2021,12, December ,2021,agree,I don't like this product 
1243,Tomatoes,Market, Mediterranean Wholesalers , NSW  ,1055,1050, $14.57 ," $15,369.26 ", $15.52 , $-   ," $16,293.92 ",2/5/2021,12, December ,2021,disagree,product not receive ontime
1244,Squash,Market, Bruno Fine Foods , Queensland ,1084,1079, $15.26 ," $16,542.96 ", $16.21 , $-   ," $17,491.70 ",3/5/2021,12, December ,2021,Extremely Poor,receive ontime 
1245,Celery,Grocery, Basfoods Direct - Somerton Store , Tasmania ,1566,1561, $15.95 ," $24,984.03 ", $16.90 , $-   ," $26,387.21 ",4/5/2021,10, October ,2021,strongly agree,I like your product 
1246,Cucumber,Market, Glendal Foods , Western Australia  ,2966,2961, $16.65 ," $49,375.18 ", $17.60 , $-   ," $52,104.89 ",5/5/2021,10, October ,2021,strongly diagree,I don't like this product 
1247,Mushrooms,Grocery, Grocery Industries Australia Pty Ltd , South Australia  ,2877,2872, $3.00 ," $8,631.00 ", $3.95 , $-   ," $11,344.40 ",6/5/2021,10, October ,2021,strongly diagree,product was very fresh thanks
1248,Milk ,Home Delivery, Complete Food Services , Northern Territory ,809,804, $2.00 ," $1,618.00 ", $2.95 , $-   ," $2,371.80 ",7/5/2021,10, October ,2021,disagree,product was notvery fresh thanks
1249,Cheese,Home Delivery, Japan Foods Trading , The Australian Capital Territory ,2145,2140, $1.50 ," $3,217.50 ", $2.45 , $-   ," $5,243.00 ",8/5/2021,10, October ,2021,strongly agree,product was very fresh thanks
1250,Eggs,Home Delivery, Basfoods Direct , Northern Territory ,1055,1050, $1.75 ," $1,846.25 ", $2.70 , $-   ," $2,835.00 ",9/5/2021,12, December ,2021,strongly diagree,product was not very fresh thanks
1251,Cottage cheese,Home Delivery, Kahvecioglu Grand Foods , The Australian Capital Territory ,544,539, $2.00 ," $1,088.00 ", $2.95 , $-   ," $1,590.05 ",10/5/2021,12, December ,2021,agree,prodict not receive ontime
1252,Sour cream,Home Delivery, NSM Foods Direct to Public Outlet Store , NSW  ,1084,1079, $5.00 ," $5,420.00 ", $5.95 , $-   ," $6,420.05 ",11/5/2021,12, December ,2021,disagree,customer service was very friendly 
1253,Yogurt,Grocery, Bera Foods Wholesalers , Queensland ,662,657, $4.00 ," $2,648.00 ", $4.95 , $-   ," $3,252.15 ",12/5/2021,6, June ,2021,Extremely Poor,no one response my email
1254,Beef,Market, Grocery Industries Australia Pty Ltd , Tasmania ,214,209, $3.50 , $749.00 , $4.45 , $-   , $930.05 ,13/5/2021,10, October ,2021,strongly agree,"there was an issue with my order, team resolve very quickly"
